"No.","Time","Source","Destination","Protocol","Length","Info"
"58","08:34:41.817036","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=868 Ack=7481 Win=8212 Len=0"
"59","08:34:41.835579","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"60","08:34:41.866653","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"61","08:34:41.866763","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=7481 Ack=954 Win=63828 Len=0"
"62","08:34:41.898110","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"63","08:34:41.928670","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"64","08:34:41.928751","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=7481 Ack=1040 Win=63742 Len=0"
"65","08:34:41.955461","131.180.164.29","224.0.0.107","PTPv2","96","Peer_Delay_Req Message"
"66","08:34:41.955620","131.180.164.81","224.0.0.107","PTPv2","96","Peer_Delay_Resp Message"
"67","08:34:41.955689","131.180.164.81","224.0.0.107","PTPv2","96","Peer_Delay_Resp_Follow_Up Message"
"68","08:34:41.957743","131.180.164.29","224.0.0.107","PTPv2","96","Peer_Delay_Resp_Follow_Up Message"
"69","08:34:41.960141","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"70","08:34:41.980469","131.180.164.100","131.180.166.200","TLSv1.2","329","Application Data"
"71","08:34:41.980612","131.180.164.100","131.180.166.200","TLSv1.2","105","Application Data"
"72","08:34:41.980981","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1083 Ack=7807 Win=8210 Len=0"
"73","08:34:41.991998","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"74","08:34:42.022143","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"75","08:34:42.022218","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=7807 Ack=1169 Win=63613 Len=0"
"76","08:34:42.022933","UkGridSo_0c:6d:7a","Iec-Tc57_01:00:00","GOOSE","181",""
"77","08:34:42.053823","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"78","08:34:42.084802","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"79","08:34:42.084903","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=7807 Ack=1255 Win=63527 Len=0"
"80","08:34:42.088903","ArubaAHe_56:fc:b2","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/00:0a:dc:67:86:c0  Cost = 200000  Port = 0x804e"
"81","08:34:42.105754","131.180.164.100","131.180.166.200","TLSv1.2","1139","Application Data"
