"No.","Time","Source","Destination","Protocol","Length","Info"
"2832","54.278315408","100.7.0.15","100.0.0.13","TCP","54","903  >  38490 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"2833","54.278370692","100.7.0.15","100.0.0.13","TCP","54","2  >  38490 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"2834","54.281181770","100.0.0.13","100.7.0.15","TCP","58","38491  >  780 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2835","54.281271155","100.0.0.13","100.7.0.15","TCP","54","38490  >  991 [RST] Seq=1 Win=0 Len=0"
"2836","54.281299518","100.0.0.13","100.7.0.15","TCP","58","38491  >  112 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2837","54.281368255","100.0.0.13","100.7.0.15","TCP","58","38491  >  845 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2838","54.281425303","100.0.0.13","100.7.0.15","TCP","58","38491  >  919 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2839","54.281481090","100.0.0.13","100.7.0.15","TCP","58","38491  >  108 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2840","54.281545003","100.0.0.13","100.7.0.15","TCP","54","38490  >  994 [RST] Seq=1 Win=0 Len=0"
"2841","54.281568468","100.0.0.13","100.7.0.15","TCP","58","38491  >  262 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2842","54.325142551","100.7.0.15","100.0.0.13","TCP","54","888  >  38490 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"2843","54.325225506","100.7.0.15","100.0.0.13","TCP","54","145  >  38490 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"2844","54.325285223","100.7.0.15","100.0.0.13","TCP","54","837  >  38490 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"2845","54.325334685","100.7.0.15","100.0.0.13","TCP","54","334  >  38490 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"2846","54.325394211","100.7.0.15","100.0.0.13","TCP","54","408  >  38490 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"2847","54.325451884","100.7.0.15","100.0.0.13","TCP","54","932  >  38490 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"2848","54.326677821","100.0.0.13","100.7.0.15","TCP","58","38491  >  427 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2849","54.326760467","100.0.0.13","100.7.0.15","TCP","58","38491  >  911 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2850","54.326817337","100.0.0.13","100.7.0.15","TCP","58","38491  >  515 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2851","54.326874370","100.0.0.13","100.7.0.15","TCP","58","38491  >  50 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2852","54.338860370","100.7.0.12","100.0.0.11","TCP","132","991  >  59390 [PSH, ACK] Seq=3103 Ack=1 Win=85 Len=66 TSval=3936433263 TSecr=2229480933"
"2853","54.338875351","100.0.0.11","100.7.0.12","TCP","66","59390  >  991 [ACK] Seq=1 Ack=3169 Win=83 Len=0 TSval=2229481970 TSecr=3936433263"
"2854","54.353029711","100.0.0.13","100.7.0.15","TCP","58","38491  >  432 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2855","54.353111187","100.0.0.13","100.7.0.15","TCP","58","38491  >  150 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2856","54.353168456","100.0.0.13","100.7.0.15","TCP","58","38491  >  200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2857","54.353223777","100.0.0.13","100.7.0.15","TCP","58","38491  >  946 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2858","54.353290972","100.0.0.13","100.7.0.15","TCP","58","38491  >  572 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"2859","54.353346743","100.0.0.13","100.7.0.15","TCP","58","38491  >  793 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
